env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
cpu_08,12,8,15.71,0,0.0,0,32,0.0674,0.0635,0.0562,0.0635
cpu_08,12,8,15.71,0,0.0,0,64,0.112,0.1113,0.1231,0.112
cpu_08,12,8,15.71,0,0.0,0,128,0.2289,0.2129,0.2088,0.2129
cpu_08,12,8,15.71,0,0.0,0,256,0.4021,0.3637,0.3655,0.3655
cpu_08,12,8,15.71,0,0.0,1,32,0.0595,0.0628,0.0801,0.0628
cpu_08,12,8,15.71,0,0.0,1,64,0.1072,0.1049,0.1071,0.1071
cpu_08,12,8,15.71,0,0.0,1,128,0.1964,0.1971,0.2582,0.1971
cpu_08,12,8,15.71,0,0.0,1,256,0.3645,0.4579,0.4561,0.4561
cpu_08,12,8,15.71,0,0.0,2,32,0.0387,0.0334,0.035,0.035
cpu_08,12,8,15.71,0,0.0,2,64,0.0735,0.0576,0.0794,0.0735
cpu_08,12,8,15.71,0,0.0,2,128,0.1072,0.107,0.108,0.1072
cpu_08,12,8,15.71,0,0.0,2,256,0.2787,0.2019,0.2089,0.2089
cpu_08,12,8,15.71,0,0.0,4,32,0.0274,0.025,0.0316,0.0274
cpu_08,12,8,15.71,0,0.0,4,64,0.0428,0.0522,0.0542,0.0522
cpu_08,12,8,15.71,0,0.0,4,128,0.0899,0.0754,0.0962,0.0899
cpu_08,12,8,15.71,0,0.0,4,256,0.1645,0.1619,0.1661,0.1645
