env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
cpu_12,8,4,7.84,0,0.0,0,32,0.1036,0.1039,0.1021,0.1036
cpu_12,8,4,7.84,0,0.0,0,64,0.1987,0.2147,0.2208,0.2147
cpu_12,8,4,7.84,0,0.0,0,128,0.4043,0.395,0.4115,0.4043
cpu_12,8,4,7.84,0,0.0,0,256,0.8144,0.7903,0.814,0.814
cpu_12,8,4,7.84,0,0.0,1,32,0.1216,0.1482,0.111,0.1216
cpu_12,8,4,7.84,0,0.0,1,64,0.2144,0.2312,0.2686,0.2312
cpu_12,8,4,7.84,0,0.0,1,128,0.5101,0.3931,0.4541,0.4541
cpu_12,8,4,7.84,0,0.0,1,256,0.8508,0.8156,0.8369,0.8369
cpu_12,8,4,7.84,0,0.0,2,32,0.0616,0.059,0.0623,0.0616
cpu_12,8,4,7.84,0,0.0,2,64,0.1174,0.1154,0.1105,0.1154
cpu_12,8,4,7.84,0,0.0,2,128,0.2259,0.215,0.2508,0.2259
cpu_12,8,4,7.84,0,0.0,2,256,0.4952,0.52,0.4688,0.4952
cpu_12,8,4,7.84,0,0.0,4,32,0.0549,0.0462,0.0426,0.0462
cpu_12,8,4,7.84,0,0.0,4,64,0.097,0.1021,0.0846,0.097
cpu_12,8,4,7.84,0,0.0,4,128,0.2098,0.1661,0.204,0.204
cpu_12,8,4,7.84,0,0.0,4,256,0.3111,0.3162,0.3749,0.3162
