env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
cpu_07,12,6,7.4,0,0.0,0,32,0.2238,0.2362,0.2297,0.2297
cpu_07,12,6,7.4,0,0.0,0,64,0.4513,0.4459,0.4604,0.4513
cpu_07,12,6,7.4,0,0.0,0,128,1.109,1.0563,1.0078,1.0563
cpu_07,12,6,7.4,0,0.0,0,256,1.7812,1.7596,1.7823,1.7812
cpu_07,12,6,7.4,0,0.0,1,32,0.2959,0.3719,0.2876,0.2959
cpu_07,12,6,7.4,0,0.0,1,64,0.543,0.5356,0.5699,0.543
cpu_07,12,6,7.4,0,0.0,1,128,1.0852,1.0602,1.0526,1.0602
cpu_07,12,6,7.4,0,0.0,1,256,2.059,2.0157,2.0174,2.0174
cpu_07,12,6,7.4,0,0.0,2,32,0.1826,0.183,0.1699,0.1826
cpu_07,12,6,7.4,0,0.0,2,64,0.3246,0.3125,0.3641,0.3246
cpu_07,12,6,7.4,0,0.0,2,128,0.6227,0.5711,0.5774,0.5774
cpu_07,12,6,7.4,0,0.0,2,256,1.4786,1.1542,1.331,1.331
cpu_07,12,6,7.4,0,0.0,4,32,0.1168,0.1362,0.1343,0.1343
cpu_07,12,6,7.4,0,0.0,4,64,0.2651,0.2616,0.2748,0.2651
cpu_07,12,6,7.4,0,0.0,4,128,0.48,0.4891,0.481,0.481
cpu_07,12,6,7.4,0,0.0,4,256,0.849,0.9297,0.8459,0.849
