env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
cpu_11,16,8,15.38,0,0.0,0,32,0.0971,0.0945,0.0946,0.0946
cpu_11,16,8,15.38,0,0.0,0,64,0.1878,0.1856,0.1872,0.1872
cpu_11,16,8,15.38,0,0.0,0,128,0.3724,0.3739,0.3724,0.3724
cpu_11,16,8,15.38,0,0.0,0,256,0.746,0.7402,0.7441,0.7441
cpu_11,16,8,15.38,0,0.0,1,32,0.1115,0.1154,0.11,0.1115
cpu_11,16,8,15.38,0,0.0,1,64,0.2006,0.1965,0.1984,0.1984
cpu_11,16,8,15.38,0,0.0,1,128,0.3763,0.3693,0.3728,0.3728
cpu_11,16,8,15.38,0,0.0,1,256,0.7357,0.7652,0.7373,0.7373
cpu_11,16,8,15.38,0,0.0,2,32,0.0587,0.0611,0.0606,0.0606
cpu_11,16,8,15.38,0,0.0,2,64,0.1075,0.1098,0.1098,0.1098
cpu_11,16,8,15.38,0,0.0,2,128,0.206,0.2098,0.2045,0.206
cpu_11,16,8,15.38,0,0.0,2,256,0.3997,0.4063,0.4019,0.4019
cpu_11,16,8,15.38,0,0.0,4,32,0.0365,0.0493,0.0456,0.0456
cpu_11,16,8,15.38,0,0.0,4,64,0.0853,0.0881,0.088,0.088
cpu_11,16,8,15.38,0,0.0,4,128,0.1647,0.1662,0.176,0.1662
cpu_11,16,8,15.38,0,0.0,4,256,0.2491,0.25,0.2456,0.2491
