env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
cpu_03,8,4,7.84,0,0.0,0,32,0.138,0.1112,0.1244,0.1244
cpu_03,8,4,7.84,0,0.0,0,64,0.2365,0.2174,0.2187,0.2187
cpu_03,8,4,7.84,0,0.0,0,128,0.4264,0.4392,0.4431,0.4392
cpu_03,8,4,7.84,0,0.0,0,256,0.93,0.8538,0.8451,0.8538
cpu_03,8,4,7.84,0,0.0,1,32,0.1274,0.125,0.1272,0.1272
cpu_03,8,4,7.84,0,0.0,1,64,0.2313,0.2304,0.2632,0.2313
cpu_03,8,4,7.84,0,0.0,1,128,0.4421,0.446,0.4446,0.4446
cpu_03,8,4,7.84,0,0.0,1,256,0.8614,0.8606,0.8573,0.8606
cpu_03,8,4,7.84,0,0.0,2,32,0.0729,0.0901,0.0884,0.0884
cpu_03,8,4,7.84,0,0.0,2,64,0.1638,0.1317,0.1626,0.1626
cpu_03,8,4,7.84,0,0.0,2,128,0.279,0.2656,0.2441,0.2656
cpu_03,8,4,7.84,0,0.0,2,256,0.4777,0.4736,0.4746,0.4746
cpu_03,8,4,7.84,0,0.0,4,32,0.0508,0.052,0.0504,0.0508
cpu_03,8,4,7.84,0,0.0,4,64,0.0871,0.0943,0.0846,0.0871
cpu_03,8,4,7.84,0,0.0,4,128,0.1617,0.1803,0.2284,0.1803
cpu_03,8,4,7.84,0,0.0,4,256,0.4159,0.3397,0.3205,0.3397
