env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
cpu_09,12,6,7.37,0,0,0,32,0.1455,0.1256,0.1275,0.1275
cpu_09,12,6,7.37,0,0,0,64,0.2489,0.2424,0.2286,0.2424
cpu_09,12,6,7.37,0,0,0,128,0.4547,0.4588,0.4724,0.4588
cpu_09,12,6,7.37,0,0,0,256,0.9295,0.9005,0.8931,0.9005
cpu_09,12,6,7.37,0,0,1,32,0.1624,0.1569,0.1576,0.1576
cpu_09,12,6,7.37,0,0,1,64,0.2737,0.2795,0.3289,0.2795
cpu_09,12,6,7.37,0,0,1,128,0.4767,0.5027,0.4766,0.4767
cpu_09,12,6,7.37,0,0,1,256,0.9025,0.9009,0.9089,0.9025
cpu_09,12,6,7.37,0,0,2,32,0.0873,0.0887,0.0847,0.0873
cpu_09,12,6,7.37,0,0,2,64,0.1466,0.1439,0.1415,0.1439
cpu_09,12,6,7.37,0,0,2,128,0.2613,0.2587,0.2896,0.2613
cpu_09,12,6,7.37,0,0,2,256,0.4941,0.5162,0.5122,0.5122
cpu_09,12,6,7.37,0,0,4,32,0.0759,0.0718,0.0577,0.0718
cpu_09,12,6,7.37,0,0,4,64,0.0954,0.1028,0.0935,0.0954
cpu_09,12,6,7.37,0,0,4,128,0.1652,0.2396,0.2466,0.2396
cpu_09,12,6,7.37,0,0,4,256,0.4577,0.4449,0.4902,0.4577
