env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
cpu_04,12,8,15.68,0,0.0,0,32,0.0695,0.0723,0.0769,0.0723
cpu_04,12,8,15.68,0,0.0,0,64,0.1385,0.1578,0.1397,0.1397
cpu_04,12,8,15.68,0,0.0,0,128,0.2917,0.2913,0.2846,0.2913
cpu_04,12,8,15.68,0,0.0,0,256,0.5895,0.5863,0.5825,0.5863
cpu_04,12,8,15.68,0,0.0,1,32,0.1018,0.1279,0.0963,0.1018
cpu_04,12,8,15.68,0,0.0,1,64,0.1849,0.1731,0.175,0.175
cpu_04,12,8,15.68,0,0.0,1,128,0.3226,0.3043,0.2909,0.3043
cpu_04,12,8,15.68,0,0.0,1,256,0.581,0.6239,0.6138,0.6138
cpu_04,12,8,15.68,0,0.0,2,32,0.0833,0.0669,0.0574,0.0669
cpu_04,12,8,15.68,0,0.0,2,64,0.0881,0.1125,0.0846,0.0881
cpu_04,12,8,15.68,0,0.0,2,128,0.1491,0.1576,0.1554,0.1554
cpu_04,12,8,15.68,0,0.0,2,256,0.2972,0.3005,1.0752,0.3005
cpu_04,12,8,15.68,0,0.0,4,32,0.1416,0.1164,0.1262,0.1262
cpu_04,12,8,15.68,0,0.0,4,64,0.2026,0.2098,0.2061,0.2061
cpu_04,12,8,15.68,0,0.0,4,128,0.4207,0.4018,0.4085,0.4085
cpu_04,12,8,15.68,0,0.0,4,256,0.7709,0.778,0.81,0.778
