env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
cpu_01,12,10,15.69,0,0.0,0,32,0.0775,0.0748,0.0563,0.0748
cpu_01,12,10,15.69,0,0.0,0,64,0.097,0.0903,0.0893,0.0903
cpu_01,12,10,15.69,0,0.0,0,128,0.1666,0.1664,0.2078,0.1666
cpu_01,12,10,15.69,0,0.0,0,256,0.4327,0.3282,0.329,0.329
cpu_01,12,10,15.69,0,0.0,1,32,0.0614,0.0669,0.0964,0.0669
cpu_01,12,10,15.69,0,0.0,1,64,0.1224,0.1105,0.1154,0.1154
cpu_01,12,10,15.69,0,0.0,1,128,0.2434,0.1973,0.1995,0.1995
cpu_01,12,10,15.69,0,0.0,1,256,0.3293,0.3609,0.3472,0.3472
cpu_01,12,10,15.69,0,0.0,2,32,0.0358,0.051,0.0426,0.0426
cpu_01,12,10,15.69,0,0.0,2,64,0.0784,0.0841,0.0777,0.0784
cpu_01,12,10,15.69,0,0.0,2,128,0.3684,0.6584,0.5532,0.5532
cpu_01,12,10,15.69,0,0.0,2,256,1.0255,0.981,0.2035,0.981
cpu_01,12,10,15.69,0,0.0,4,32,0.0309,0.0416,0.1084,0.0416
cpu_01,12,10,15.69,0,0.0,4,64,0.0551,0.1452,0.0609,0.0609
cpu_01,12,10,15.69,0,0.0,4,128,0.0977,0.1135,0.1061,0.1061
cpu_01,12,10,15.69,0,0.0,4,256,0.5974,0.5574,0.1954,0.5574
