env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,num_workers_req,batch_size,run1,run2,run3,load_time_median
gpu_05,12,8,15.71,1,4.0,0,0,32,0.0731,0.0741,0.0717,0.0731
gpu_05,12,8,15.71,1,4.0,0,0,64,0.1283,0.1332,0.1312,0.1312
gpu_05,12,8,15.71,1,4.0,0,0,128,0.2406,0.2384,0.2355,0.2384
gpu_05,12,8,15.71,1,4.0,0,0,256,0.4588,0.4571,0.456,0.4571
gpu_05,12,8,15.71,1,4.0,1,1,32,0.0754,0.0737,0.0776,0.0754
gpu_05,12,8,15.71,1,4.0,1,1,64,0.1374,0.1348,0.133,0.1348
gpu_05,12,8,15.71,1,4.0,1,1,128,0.2439,0.2451,0.2471,0.2451
gpu_05,12,8,15.71,1,4.0,1,1,256,0.4755,0.4729,0.4725,0.4729
gpu_05,12,8,15.71,1,4.0,2,2,32,0.0446,0.0461,0.0496,0.0461
gpu_05,12,8,15.71,1,4.0,2,2,64,0.0961,0.0798,0.0774,0.0798
gpu_05,12,8,15.71,1,4.0,2,2,128,0.1483,0.1522,0.1474,0.1483
gpu_05,12,8,15.71,1,4.0,2,2,256,0.2853,0.2992,0.2867,0.2867
gpu_05,12,8,15.71,1,4.0,4,4,32,0.0353,0.0348,0.0354,0.0353
gpu_05,12,8,15.71,1,4.0,4,4,64,0.0648,0.0623,0.0647,0.0647
gpu_05,12,8,15.71,1,4.0,4,4,128,0.1266,0.1131,0.1413,0.1266
gpu_05,12,8,15.71,1,4.0,4,4,256,0.2642,0.2677,0.2482,0.2642
