env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,num_workers_req,batch_size,run1,run2,run3,load_time_median
gpu_01,20,10,31.03,1,7.65,0,0,32,0.0836,0.0741,0.0768,0.0768
gpu_01,20,10,31.03,1,7.65,0,0,64,0.1541,0.1595,0.1587,0.1587
gpu_01,20,10,31.03,1,7.65,0,0,128,0.2959,0.2838,0.2813,0.2838
gpu_01,20,10,31.03,1,7.65,0,0,256,0.5558,0.5593,0.5588,0.5588
gpu_01,20,10,31.03,1,7.65,1,1,32,0.107,0.1144,0.1053,0.107
gpu_01,20,10,31.03,1,7.65,1,1,64,0.1863,0.1925,0.1878,0.1878
gpu_01,20,10,31.03,1,7.65,1,1,128,0.343,0.3391,0.3455,0.343
gpu_01,20,10,31.03,1,7.65,1,1,256,0.673,0.6813,0.6811,0.6811
gpu_01,20,10,31.03,1,7.65,2,2,32,0.0596,0.0611,0.0581,0.0596
gpu_01,20,10,31.03,1,7.65,2,2,64,0.1079,0.1062,0.1102,0.1079
gpu_01,20,10,31.03,1,7.65,2,2,128,0.1894,0.2168,0.1954,0.1954
gpu_01,20,10,31.03,1,7.65,2,2,256,0.3871,0.3919,0.4071,0.3919
gpu_01,20,10,31.03,1,7.65,4,4,32,0.045,0.0399,0.0385,0.0399
gpu_01,20,10,31.03,1,7.65,4,4,64,0.0624,0.0631,0.0636,0.0631
gpu_01,20,10,31.03,1,7.65,4,4,128,0.1222,0.1137,0.1164,0.1164
gpu_01,20,10,31.03,1,7.65,4,4,256,0.2133,0.2299,0.2196,0.2196
