env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
gpu_07,12,6,14.96,1,3.63,0,32,0.1486,0.1495,0.1618,0.1495
gpu_07,12,6,14.96,1,3.63,0,64,0.3001,0.2895,0.2635,0.2895
gpu_07,12,6,14.96,1,3.63,0,128,0.5161,0.5073,0.5196,0.5161
gpu_07,12,6,14.96,1,3.63,0,256,1.0068,1.0001,0.8037,1.0001
gpu_07,12,6,14.96,1,3.63,1,32,0.1519,0.1466,0.1516,0.1516
gpu_07,12,6,14.96,1,3.63,1,64,0.247,0.2498,0.2529,0.2498
gpu_07,12,6,14.96,1,3.63,1,128,0.4703,0.4401,0.4411,0.4411
gpu_07,12,6,14.96,1,3.63,1,256,0.8208,0.8109,0.8469,0.8208
gpu_07,12,6,14.96,1,3.63,2,32,0.0816,0.0767,0.0787,0.0787
gpu_07,12,6,14.96,1,3.63,2,64,0.1323,0.1422,0.1382,0.1382
gpu_07,12,6,14.96,1,3.63,2,128,0.2473,0.2403,0.246,0.246
gpu_07,12,6,14.96,1,3.63,2,256,0.4454,0.441,0.4623,0.4454
gpu_07,12,6,14.96,1,3.63,4,32,0.0716,0.0695,0.0626,0.0695
gpu_07,12,6,14.96,1,3.63,4,64,0.102,0.0838,0.1149,0.102
gpu_07,12,6,14.96,1,3.63,4,128,0.1495,0.1565,0.1572,0.1565
gpu_07,12,6,14.96,1,3.63,4,256,0.309,0.2775,0.2767,0.2775
