env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,num_workers_req,batch_size,run1,run2,run3,load_time_median
gpu_03,24,24,15.36,1,7.96,0,0,32,0.0729,0.0813,0.0797,0.0797
gpu_03,24,24,15.36,1,7.96,0,0,64,0.1498,0.1539,0.1261,0.1498
gpu_03,24,24,15.36,1,7.96,0,0,128,0.2248,0.2498,0.2431,0.2431
gpu_03,24,24,15.36,1,7.96,0,0,256,0.4136,0.4143,0.4228,0.4143
gpu_03,24,24,15.36,1,7.96,1,1,32,0.0778,0.064,0.077,0.077
gpu_03,24,24,15.36,1,7.96,1,1,64,0.1089,0.1249,0.1327,0.1249
gpu_03,24,24,15.36,1,7.96,1,1,128,0.2142,0.244,0.2682,0.244
gpu_03,24,24,15.36,1,7.96,1,1,256,0.4087,0.4022,0.4433,0.4087
gpu_03,24,24,15.36,1,7.96,2,2,32,0.047,0.0433,0.0408,0.0433
gpu_03,24,24,15.36,1,7.96,2,2,64,0.064,0.0619,0.0743,0.064
gpu_03,24,24,15.36,1,7.96,2,2,128,0.1194,0.1142,0.1137,0.1142
gpu_03,24,24,15.36,1,7.96,2,2,256,0.2336,0.2282,0.2793,0.2336
gpu_03,24,24,15.36,1,7.96,4,4,32,0.0222,0.0236,0.0408,0.0236
gpu_03,24,24,15.36,1,7.96,4,4,64,0.0469,0.0439,0.0401,0.0439
gpu_03,24,24,15.36,1,7.96,4,4,128,0.0707,0.0771,0.0742,0.0742
gpu_03,24,24,15.36,1,7.96,4,4,256,0.1355,0.156,0.1741,0.156
