env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
gpu_06,24,24,15.36,1,7.96,0,32,0.0776,0.0622,0.0536,0.0622
gpu_06,24,24,15.36,1,7.96,0,64,0.099,0.117,0.1163,0.1163
gpu_06,24,24,15.36,1,7.96,0,128,0.184,0.2316,0.1888,0.1888
gpu_06,24,24,15.36,1,7.96,0,256,0.4052,0.418,0.3954,0.4052
gpu_06,24,24,15.36,1,7.96,1,32,0.0542,0.0604,0.0728,0.0604
gpu_06,24,24,15.36,1,7.96,1,64,0.1125,0.1064,0.1204,0.1125
gpu_06,24,24,15.36,1,7.96,1,128,0.2017,0.2234,0.1701,0.2017
gpu_06,24,24,15.36,1,7.96,1,256,0.3888,0.3309,0.407,0.3888
gpu_06,24,24,15.36,1,7.96,2,32,0.0427,0.0294,0.0283,0.0294
gpu_06,24,24,15.36,1,7.96,2,64,0.0614,0.0603,0.0803,0.0614
gpu_06,24,24,15.36,1,7.96,2,128,0.1321,0.1078,0.1095,0.1095
gpu_06,24,24,15.36,1,7.96,2,256,0.2089,0.2085,0.2717,0.2089
gpu_06,24,24,15.36,1,7.96,4,32,0.0428,0.0582,0.0282,0.0428
gpu_06,24,24,15.36,1,7.96,4,64,0.0437,0.0395,0.0444,0.0437
gpu_06,24,24,15.36,1,7.96,4,128,0.0814,0.078,0.101,0.0814
gpu_06,24,24,15.36,1,7.96,4,256,0.1585,0.1334,0.1749,0.1585
