env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median,workers_x_cpu,batch_x_ram,cpu_per_worker,workers_x_gpu,batch_x_gpu,num_workers_req
cpu_01,12,10,15.69,0,0.0,0,32,0.0775,0.0748,0.0563,0.0748,0,2.0395156150414278,12.0,0,0,
cpu_01,12,10,15.69,0,0.0,0,64,0.097,0.0903,0.0893,0.0903,0,4.0790312300828555,12.0,0,0,
cpu_01,12,10,15.69,0,0.0,0,128,0.1666,0.1664,0.2078,0.1666,0,8.158062460165711,12.0,0,0,
cpu_01,12,10,15.69,0,0.0,0,256,0.4327,0.3282,0.329,0.329,0,16.316124920331422,12.0,0,0,
cpu_01,12,10,15.69,0,0.0,1,32,0.0614,0.0669,0.0964,0.0669,12,2.0395156150414278,6.0,0,0,
cpu_01,12,10,15.69,0,0.0,1,64,0.1224,0.1105,0.1154,0.1154,12,4.0790312300828555,6.0,0,0,
cpu_01,12,10,15.69,0,0.0,1,128,0.2434,0.1973,0.1995,0.1995,12,8.158062460165711,6.0,0,0,
cpu_01,12,10,15.69,0,0.0,1,256,0.3293,0.3609,0.3472,0.3472,12,16.316124920331422,6.0,0,0,
cpu_01,12,10,15.69,0,0.0,2,32,0.0358,0.051,0.0426,0.0426,24,2.0395156150414278,4.0,0,0,
cpu_01,12,10,15.69,0,0.0,2,64,0.0784,0.0841,0.0777,0.0784,24,4.0790312300828555,4.0,0,0,
cpu_01,12,10,15.69,0,0.0,2,128,0.3684,0.6584,0.5532,0.5532,24,8.158062460165711,4.0,0,0,
cpu_01,12,10,15.69,0,0.0,2,256,1.0255,0.981,0.2035,0.981,24,16.316124920331422,4.0,0,0,
cpu_01,12,10,15.69,0,0.0,4,32,0.0309,0.0416,0.1084,0.0416,48,2.0395156150414278,2.4,0,0,
cpu_01,12,10,15.69,0,0.0,4,64,0.0551,0.1452,0.0609,0.0609,48,4.0790312300828555,2.4,0,0,
cpu_01,12,10,15.69,0,0.0,4,128,0.0977,0.1135,0.1061,0.1061,48,8.158062460165711,2.4,0,0,
cpu_01,12,10,15.69,0,0.0,4,256,0.5974,0.5574,0.1954,0.5574,48,16.316124920331422,2.4,0,0,
cpu_02,8,4,23.7,0,0.0,0,32,0.1395,0.1861,0.1345,0.1395,0,1.350210970464135,8.0,0,0,
cpu_02,8,4,23.7,0,0.0,0,64,0.3833,0.4266,0.3943,0.3943,0,2.70042194092827,8.0,0,0,
cpu_02,8,4,23.7,0,0.0,0,128,0.674,0.5834,0.557,0.5834,0,5.40084388185654,8.0,0,0,
cpu_02,8,4,23.7,0,0.0,0,256,1.2964,1.3537,1.0968,1.2964,0,10.80168776371308,8.0,0,0,
cpu_02,8,4,23.7,0,0.0,1,32,0.1912,0.1921,0.1947,0.1921,8,1.350210970464135,4.0,0,0,
cpu_02,8,4,23.7,0,0.0,1,64,0.2816,0.3149,0.3329,0.3149,8,2.70042194092827,4.0,0,0,
cpu_02,8,4,23.7,0,0.0,1,128,0.5848,0.5482,1.6369,0.5848,8,5.40084388185654,4.0,0,0,
cpu_02,8,4,23.7,0,0.0,1,256,3.2399,3.2691,3.1964,3.2399,8,10.80168776371308,4.0,0,0,
cpu_02,8,4,23.7,0,0.0,2,32,0.3007,0.3249,0.3002,0.3007,16,1.350210970464135,2.6666666666666665,0,0,
cpu_02,8,4,23.7,0,0.0,2,64,0.5622,0.5853,0.577,0.577,16,2.70042194092827,2.6666666666666665,0,0,
cpu_02,8,4,23.7,0,0.0,2,128,0.9879,1.0067,1.022,1.0067,16,5.40084388185654,2.6666666666666665,0,0,
