env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,num_workers_req,batch_size,run1,run2,run3,load_time_median,workers_x_cpu,batch_x_ram,cpu_per_worker,workers_x_gpu,batch_x_gpu
gpu_01,20,10,31.03,1,7.65,0,0.0,32,0.0836,0.0741,0.0768,0.0768,0,1.0312600708991297,20.0,0,32
gpu_01,20,10,31.03,1,7.65,0,0.0,64,0.1541,0.1595,0.1587,0.1587,0,2.0625201417982595,20.0,0,64
gpu_01,20,10,31.03,1,7.65,0,0.0,128,0.2959,0.2838,0.2813,0.2838,0,4.125040283596519,20.0,0,128
gpu_01,20,10,31.03,1,7.65,0,0.0,256,0.5558,0.5593,0.5588,0.5588,0,8.250080567193038,20.0,0,256
gpu_01,20,10,31.03,1,7.65,1,1.0,32,0.107,0.1144,0.1053,0.107,20,1.0312600708991297,10.0,1,32
gpu_01,20,10,31.03,1,7.65,1,1.0,64,0.1863,0.1925,0.1878,0.1878,20,2.0625201417982595,10.0,1,64
gpu_01,20,10,31.03,1,7.65,1,1.0,128,0.343,0.3391,0.3455,0.343,20,4.125040283596519,10.0,1,128
gpu_01,20,10,31.03,1,7.65,1,1.0,256,0.673,0.6813,0.6811,0.6811,20,8.250080567193038,10.0,1,256
gpu_01,20,10,31.03,1,7.65,2,2.0,32,0.0596,0.0611,0.0581,0.0596,40,1.0312600708991297,6.666666666666667,2,32
gpu_01,20,10,31.03,1,7.65,2,2.0,64,0.1079,0.1062,0.1102,0.1079,40,2.0625201417982595,6.666666666666667,2,64
gpu_01,20,10,31.03,1,7.65,2,2.0,128,0.1894,0.2168,0.1954,0.1954,40,4.125040283596519,6.666666666666667,2,128
gpu_01,20,10,31.03,1,7.65,2,2.0,256,0.3871,0.3919,0.4071,0.3919,40,8.250080567193038,6.666666666666667,2,256
gpu_01,20,10,31.03,1,7.65,4,4.0,32,0.045,0.0399,0.0385,0.0399,80,1.0312600708991297,4.0,4,32
gpu_01,20,10,31.03,1,7.65,4,4.0,64,0.0624,0.0631,0.0636,0.0631,80,2.0625201417982595,4.0,4,64
gpu_01,20,10,31.03,1,7.65,4,4.0,128,0.1222,0.1137,0.1164,0.1164,80,4.125040283596519,4.0,4,128
gpu_01,20,10,31.03,1,7.65,4,4.0,256,0.2133,0.2299,0.2196,0.2196,80,8.250080567193038,4.0,4,256
gpu_02,2,1,12.67,1,14.56,0,,32,0.1322,0.1137,0.1159,0.1159,0,2.525651144435675,2.0,0,32
gpu_02,2,1,12.67,1,14.56,0,,64,0.2252,0.2247,0.2423,0.2252,0,5.05130228887135,2.0,0,64
gpu_02,2,1,12.67,1,14.56,0,,128,0.4466,0.4562,0.4377,0.4466,0,10.1026045777427,2.0,0,128
gpu_02,2,1,12.67,1,14.56,0,,256,0.909,0.8982,0.8771,0.8982,0,20.2052091554854,2.0,0,256
gpu_02,2,1,12.67,1,14.56,1,,32,0.2028,0.2245,0.2105,0.2105,2,2.525651144435675,1.0,1,32
gpu_02,2,1,12.67,1,14.56,1,,64,0.3439,0.3452,0.363,0.3452,2,5.05130228887135,1.0,1,64
gpu_02,2,1,12.67,1,14.56,1,,128,0.5986,0.7712,0.7515,0.7515,2,10.1026045777427,1.0,1,128
gpu_02,2,1,12.67,1,14.56,1,,256,1.2828,1.0992,1.1154,1.1154,2,20.2052091554854,1.0,1,256
gpu_02,2,1,12.67,1,14.56,2,,32,0.1761,0.1754,0.1737,0.1754,4,2.525651144435675,0.6666666666666666,2,32
gpu_02,2,1,12.67,1,14.56,2,,64,0.2903,0.33,0.2715,0.2903,4,5.05130228887135,0.6666666666666666,2,64
gpu_02,2,1,12.67,1,14.56,2,,128,0.5054,0.4926,0.5106,0.5054,4,10.1026045777427,0.6666666666666666,2,128
gpu_02,2,1,12.67,1,14.56,2,,256,0.9619,0.9698,1.4839,0.9698,4,20.2052091554854,0.6666666666666666,2,256
